make,model,year,mileage,city,color,trans,price
Toyota,Prado Vx,2019,1600,Jeddah,Blue,Automatic,160000
Jeep,Wrangler,2020,85017,Jeddah,Green,Manual,160000
Cadillac,Ct6 Platinum,2017,84000,Sharqiya,Blue,Automatic,160000
Nissan,Gt-R,2009,58400,Jeddah,Silver,Automatic,160000
Toyota,Land Cruiser,2015,45000,Jeddah,Gray,Automatic,160000
Nissan,Patrol Safari,2016,84000,Sharqiya,White,Automatic,160000
Ford,Expedition,2018,43000,Jeddah,Silver,Automatic,160000
Gmc,Yukon,2018,12471,Jeddah,Silver,Automatic,160000
Volkswagen,Teramont,2019,19119,Jeddah,Silver,Automatic,160000
Infiniti,Qx80,2016,61000,Riyadh,Blue,Automatic,160000
Lexus,Ls460L,2014,105000,Sharqiya,White,Automatic,160000
Chevrolet,Corvette,2015,30000,Riyadh,White,Automatic,160000
Gmc,Yukon,2015,101000,Riyadh,White,Automatic,160000
Nissan,Patrol,2016,84763,Riyadh,Grey,Automatic,160000
Lexus,Ls460L,2014,105000,Sharqiya,Grey,Automatic,160000
Lexus,Nx300FSport,2018,44500,Riyadh,White,Automatic,160000
Cadillac,Escalade Platinum,2015,115000,Riyadh,Silver,Automatic,160000
Volkswagen,Touareg,2018,6625,Jeddah,Gold,Automatic,160000
Nissan,Patrol,2017,83956,Riyadh,Grey,Automatic,160000
Infiniti,Qx80,2016,67578,Riyadh,Blue,Automatic,160000
Jaguar,F-Pace S,2017,175000,Jeddah,Gold,Automatic,160000
Nissan,Patrol,2016,89000,Riyadh,Dark Gray,Automatic,160000
Toyota,Land Cruiser,2013,34430,Riyadh,White,Automatic,160000
Toyota,Land Cruiser Gxr,2015,42000,Jeddah,White,Automatic,160000
Volkswagen,Touareg,2018,6624,Jeddah,Silver,Automatic,160000
Toyota,Tundra,2015,83971,Riyadh,White,Automatic,160000
Toyota,Land Cruiser,2013,38000,Riyadh,White,Automatic,160000
Lexus,Ls,2015,105848,Jeddah,Gold,Automatic,160000
Volkswagen,Teramont R Line,2019,8700,Sharqiya,Black,Automatic,160000
Lexus,Ls,2013,158079,Dammam,White,Automatic,160000
Gmc,Suburban,2020,70302,Najran,Blue,Automatic,160000
Land Rover,Range Rover Sport Hse,2012,30000,Riyadh,Silver,Automatic,160000
Gmc,Yukon,2019,25698,Riyadh,Green,Automatic,160000
Mitsubishi,Evolution-10,2009,74000,Jeddah,Red,Manual,160000
Jeep,Grand Cherokee Srt8,2015,90000,Riyadh,Silver,Automatic,160000
Gmc,Yukon,2018,9821,Jeddah,Black,Automatic,160000
Jaguar,F-Pace,2017,8000,Jeddah,Maroon,Automatic,159950
Ford,Explorer,2019,269,Jeddah,White,Automatic,159900
Ford,Explorer,2019,28,Jeddah,White,Automatic,159900
Toyota,Coaster,2017,70000,Sharqiya,White,Automatic,159500
Lexus,Ls,2015,114831,Jeddah,White,Automatic,159500
Lexus,Ls460,2015,104000,Jeddah,White,Automatic,159500
Cadillac,Escalade Premium,2015,97000,Sharqiya,White,Automatic,159000
Jaguar,F-Pace,2017,21140,Jeddah,White,Automatic,159000
Jaguar,F-Pace S,2017,37786,Riyadh,White,Automatic,159000
Volkswagen,Arteon,2019,800,Jeddah,Brown,Automatic,159000
Lexus,Gx460,2017,78600,Awwamiyya,White,Automatic,159000
Lexus,Ls460,2013,75000,Jeddah,White,Automatic,159000
Infiniti,Qx60,2019,3100,Dammam,Beige,Automatic,159000
Toyota,Tercel,2020,229595,Dammam,White,Manual,159000
Infiniti,Qx60 Premium,2019,2670,Riyadh,Silver,Automatic,159000
Lexus,Ls,2013,73657,Jeddah,White,Automatic,159000
Volkswagen,Arteon,2018,5000,Riyadh,Black,Automatic,158000
Gmc,Yukon Slt,2015,41000,Riyadh,White,Automatic,158000
Infiniti,Qx80,2016,39878,Riyadh,Grey,Automatic,158000
Lexus,Gs350,2017,28000,Jeddah,Black,Automatic,158000
Toyota,Land Cruiser,2015,50264,Dammam,White,Automatic,158000
Lexus,Es,2018,46618,Jeddah,Brown,Automatic,158000
Ford,Expedition,2018,841,Dammam,Grey,Automatic,158000
Infiniti,Qx80,2016,37000,Riyadh,Gray,Automatic,158000
Volkswagen,Arteon,2019,4600,Sharqiya,Grey,Automatic,158000
Lexus,Es350,2018,41000,Jeddah,Brown,Automatic,158000
Gmc,Yukon,2015,88693,Jeddah,White,Automatic,158000
Ford,Expedition,2018,900,Dammam,Dark Gray,Automatic,158000
Land Rover,Range Rover Sport Hse,2014,160000,Jeddah,Red,Automatic,158000
Lexus,Ls,2015,80009,Jeddah,White,Automatic,157000
Chevrolet,Tahoe Lt,2019,12000,Jeddah,White,Automatic,157000
Lexus,Is,2018,12159,Jeddah,Gold,Automatic,157000
Lexus,Is350,2018,22000,Riyadh,Gold,Automatic,157000
Gmc,Yukon,2019,25000,Riyadh,Black,Automatic,157000
Cadillac,Escalade Premium,2015,127000,Riyadh,Silver,Automatic,157000
Toyota,Land Cruiser Gxr,2019,14000,Jeddah,Silver,Automatic,157000
Toyota,Prado Tx-L,2019,7000,Jeddah,White,Automatic,157000
Lexus,Gs350,2015,41000,Jeddah,Silver,Automatic,157000
